original_listed_time_readable,industry,count
2023-10-09 16:46:40,Hospitals and Health Care,31
2023-10-09 16:46:40,IT Services and IT Consulting,2
2023-10-09 16:46:40,Software Development,2
2023-10-09 16:46:40,Staffing and Recruiting,2
2023-10-09 19:33:20,Financial Services,6
2023-10-09 19:33:20,Hospitals and Health Care,27
2023-10-09 19:33:20,IT Services and IT Consulting,6
2023-10-09 19:33:20,Retail,13
2023-10-09 19:33:20,Software Development,5
2023-10-09 19:33:20,Staffing and Recruiting,117
2023-10-09 22:20:00,Financial Services,23
2023-10-09 22:20:00,Hospitals and Health Care,28
2023-10-09 22:20:00,IT Services and IT Consulting,15
2023-10-09 22:20:00,Retail,30
2023-10-09 22:20:00,Software Development,20
2023-10-09 22:20:00,Staffing and Recruiting,16
2023-10-10 01:06:40,Financial Services,1
2023-10-10 01:06:40,Hospitals and Health Care,9
2023-10-10 01:06:40,IT Services and IT Consulting,3
2023-10-10 01:06:40,Retail,9
2023-10-10 01:06:40,Software Development,6
2023-10-10 01:06:40,Staffing and Recruiting,4
2023-10-10 03:53:20,Financial Services,7
2023-10-10 03:53:20,Hospitals and Health Care,9
2023-10-10 03:53:20,IT Services and IT Consulting,2
2023-10-10 03:53:20,Retail,11
2023-10-10 03:53:20,Software Development,9
2023-10-10 06:40:00,Hospitals and Health Care,1
2023-10-10 06:40:00,IT Services and IT Consulting,6
2023-10-10 06:40:00,Retail,6
2023-10-10 09:26:40,Software Development,2
2023-10-10 17:46:40,Software Development,2
2023-10-10 17:46:40,Staffing and Recruiting,6
2023-10-10 20:33:20,Hospitals and Health Care,2
2023-10-10 20:33:20,IT Services and IT Consulting,2
2023-10-10 23:20:00,Financial Services,1
2023-10-10 23:20:00,Hospitals and Health Care,2
2023-10-10 23:20:00,IT Services and IT Consulting,1
2023-10-10 23:20:00,Retail,1
2023-10-11 02:06:40,Staffing and Recruiting,4
2023-10-11 21:33:20,Hospitals and Health Care,2
2023-10-12 00:20:00,Financial Services,2
2023-10-12 00:20:00,Hospitals and Health Care,1
2023-10-12 00:20:00,Retail,1
2023-10-12 00:20:00,Software Development,2
2023-10-12 00:20:00,Staffing and Recruiting,3
2023-10-12 11:26:40,Hospitals and Health Care,1
2023-10-12 11:26:40,IT Services and IT Consulting,2
2023-10-12 17:00:00,Financial Services,1
2023-10-12 17:00:00,Hospitals and Health Care,1
2023-10-12 17:00:00,Retail,1
2023-10-12 17:00:00,Software Development,2
2023-10-12 19:46:40,IT Services and IT Consulting,2
2023-10-12 22:33:20,Software Development,2
2023-10-13 01:20:00,Retail,1
2023-10-13 04:06:40,Software Development,1
2023-10-13 15:13:20,Retail,1
2023-10-13 23:33:20,Hospitals and Health Care,2
2023-10-13 23:33:20,Software Development,2
2023-10-13 23:33:20,Staffing and Recruiting,1
2023-10-14 02:20:00,Retail,2
2023-10-14 05:06:40,Software Development,1
2023-10-14 16:13:20,Software Development,4
2023-10-14 21:46:40,Retail,1
2023-10-16 21:00:00,Financial Services,1
2023-10-16 21:00:00,Staffing and Recruiting,3
2023-10-16 23:46:40,Hospitals and Health Care,2
2023-10-16 23:46:40,IT Services and IT Consulting,2
2023-10-17 02:33:20,Financial Services,1
2023-10-17 05:20:00,Hospitals and Health Care,2
2023-10-17 13:40:00,Financial Services,1
2023-10-17 16:26:40,Financial Services,4
2023-10-17 16:26:40,Retail,16
2023-10-17 22:00:00,Financial Services,1
2023-10-17 22:00:00,IT Services and IT Consulting,1
2023-10-17 22:00:00,Retail,2
2023-10-18 00:46:40,Hospitals and Health Care,4
2023-10-18 00:46:40,Software Development,1
2023-10-18 00:46:40,Staffing and Recruiting,7
2023-10-18 03:33:20,Hospitals and Health Care,1
2023-10-18 03:33:20,Retail,1
2023-10-18 14:40:00,Software Development,1
2023-10-18 17:26:40,Staffing and Recruiting,1
2023-10-18 20:13:20,Financial Services,2
2023-10-18 20:13:20,Hospitals and Health Care,3
2023-10-18 23:00:00,IT Services and IT Consulting,4
2023-10-18 23:00:00,Software Development,1
2023-10-19 01:46:40,IT Services and IT Consulting,2
2023-10-19 04:33:20,Hospitals and Health Care,3
2023-10-19 10:06:40,Financial Services,1
2023-10-19 10:06:40,Software Development,1
2023-10-19 10:06:40,Staffing and Recruiting,2
2023-10-19 15:40:00,Staffing and Recruiting,1
2023-10-19 21:13:20,Hospitals and Health Care,1
2023-10-19 21:13:20,IT Services and IT Consulting,1
2023-10-20 05:33:20,Retail,1
2023-10-20 22:13:20,Hospitals and Health Care,2
2023-10-20 22:13:20,IT Services and IT Consulting,2
2023-10-20 22:13:20,Retail,1
2023-10-20 22:13:20,Staffing and Recruiting,2
2023-10-21 01:00:00,Hospitals and Health Care,2
2023-10-21 01:00:00,Staffing and Recruiting,2
2023-10-21 03:46:40,Hospitals and Health Care,1
2023-10-21 03:46:40,Staffing and Recruiting,1
2023-10-21 09:20:00,Staffing and Recruiting,4
2023-10-22 15:53:20,Staffing and Recruiting,1
2023-10-23 11:20:00,Staffing and Recruiting,1
2023-10-23 16:53:20,Hospitals and Health Care,1
2023-10-23 16:53:20,Staffing and Recruiting,1
2023-10-23 22:26:40,Financial Services,1
2023-10-23 22:26:40,Hospitals and Health Care,2
2023-10-23 22:26:40,Software Development,2
2023-10-24 01:13:20,Hospitals and Health Care,2
2023-10-24 01:13:20,Retail,1
2023-10-24 01:13:20,Staffing and Recruiting,3
2023-10-24 04:00:00,IT Services and IT Consulting,2
2023-10-24 15:06:40,Financial Services,1
2023-10-24 15:06:40,Retail,1
2023-10-24 20:40:00,Financial Services,1
2023-10-24 23:26:40,Financial Services,1
2023-10-24 23:26:40,IT Services and IT Consulting,1
2023-10-24 23:26:40,Staffing and Recruiting,4
2023-10-25 05:00:00,Hospitals and Health Care,1
2023-10-25 13:20:00,Hospitals and Health Care,1
2023-10-25 16:06:40,Financial Services,1
2023-10-25 21:40:00,Financial Services,1
2023-10-25 21:40:00,IT Services and IT Consulting,2
2023-10-26 03:13:20,Hospitals and Health Care,3
2023-10-26 06:00:00,Software Development,1
2023-10-26 06:00:00,Staffing and Recruiting,2
2023-10-26 14:20:00,Staffing and Recruiting,2
2023-10-26 22:40:00,IT Services and IT Consulting,2
2023-10-26 22:40:00,Staffing and Recruiting,1
2023-10-27 01:26:40,Staffing and Recruiting,1
2023-10-27 09:46:40,Staffing and Recruiting,1
2023-10-27 15:20:00,Retail,3
2023-10-27 18:06:40,Retail,2
2023-10-27 20:53:20,Staffing and Recruiting,1
2023-10-27 23:40:00,Staffing and Recruiting,2
2023-10-28 10:46:40,Hospitals and Health Care,1
2023-10-29 22:53:20,Retail,2
2023-10-29 22:53:20,Software Development,1
2023-10-30 04:26:40,Software Development,1
2023-10-30 10:00:00,Staffing and Recruiting,4
2023-10-30 15:33:20,Financial Services,4
2023-10-30 21:06:40,Financial Services,1
2023-10-30 23:53:20,Financial Services,1
2023-10-30 23:53:20,Hospitals and Health Care,1
2023-10-30 23:53:20,IT Services and IT Consulting,2
2023-10-30 23:53:20,Software Development,1
2023-10-30 23:53:20,Staffing and Recruiting,3
2023-10-31 02:40:00,Software Development,1
2023-10-31 05:26:40,IT Services and IT Consulting,2
2023-10-31 05:26:40,Software Development,1
2023-10-31 11:00:00,IT Services and IT Consulting,1
2023-10-31 11:00:00,Retail,1
2023-10-31 11:00:00,Staffing and Recruiting,2
2023-10-31 13:46:40,Hospitals and Health Care,1
2023-10-31 13:46:40,IT Services and IT Consulting,2
2023-10-31 13:46:40,Retail,1
2023-10-31 13:46:40,Software Development,1
2023-10-31 13:46:40,Staffing and Recruiting,4
2023-10-31 16:33:20,Financial Services,1
2023-10-31 16:33:20,Hospitals and Health Care,2
2023-10-31 16:33:20,IT Services and IT Consulting,6
2023-10-31 16:33:20,Software Development,2
2023-10-31 16:33:20,Staffing and Recruiting,11
2023-10-31 19:20:00,Financial Services,4
2023-10-31 19:20:00,Hospitals and Health Care,2
2023-10-31 19:20:00,IT Services and IT Consulting,2
2023-10-31 19:20:00,Retail,3
2023-10-31 19:20:00,Software Development,4
2023-10-31 19:20:00,Staffing and Recruiting,3
2023-10-31 22:06:40,Financial Services,3
2023-10-31 22:06:40,Hospitals and Health Care,12
2023-10-31 22:06:40,IT Services and IT Consulting,5
2023-10-31 22:06:40,Retail,2
2023-10-31 22:06:40,Software Development,6
2023-10-31 22:06:40,Staffing and Recruiting,1
2023-11-01 00:53:20,Hospitals and Health Care,2
2023-11-01 00:53:20,IT Services and IT Consulting,2
2023-11-01 00:53:20,Software Development,28
2023-11-01 03:40:00,Hospitals and Health Care,2
2023-11-01 09:13:20,Retail,3
2023-11-01 12:00:00,Hospitals and Health Care,2
2023-11-01 17:33:20,Hospitals and Health Care,2
2023-11-01 20:20:00,Hospitals and Health Care,3
2023-11-01 23:06:40,Financial Services,13
2023-11-01 23:06:40,Hospitals and Health Care,42
2023-11-01 23:06:40,IT Services and IT Consulting,22
2023-11-01 23:06:40,Retail,65
2023-11-01 23:06:40,Software Development,38
2023-11-01 23:06:40,Staffing and Recruiting,26
2023-11-02 01:53:20,Hospitals and Health Care,3
2023-11-02 10:13:20,Software Development,1
2023-11-02 10:13:20,Staffing and Recruiting,2
2023-11-02 15:46:40,IT Services and IT Consulting,1
2023-11-02 15:46:40,Software Development,3
2023-11-02 18:33:20,Financial Services,1
2023-11-02 18:33:20,Hospitals and Health Care,1
2023-11-02 18:33:20,IT Services and IT Consulting,2
2023-11-02 18:33:20,Retail,1
2023-11-02 18:33:20,Software Development,1
2023-11-02 18:33:20,Staffing and Recruiting,1
2023-11-02 21:20:00,Financial Services,22
2023-11-02 21:20:00,Hospitals and Health Care,135
2023-11-02 21:20:00,IT Services and IT Consulting,107
2023-11-02 21:20:00,Retail,29
2023-11-02 21:20:00,Software Development,29
2023-11-02 21:20:00,Staffing and Recruiting,132
2023-11-03 00:06:40,Financial Services,89
2023-11-03 00:06:40,Hospitals and Health Care,486
2023-11-03 00:06:40,IT Services and IT Consulting,204
2023-11-03 00:06:40,Retail,187
2023-11-03 00:06:40,Software Development,160
2023-11-03 00:06:40,Staffing and Recruiting,283
2023-11-03 02:53:20,Hospitals and Health Care,2
2023-11-03 02:53:20,Staffing and Recruiting,2
2023-11-03 11:13:20,Software Development,1
2023-11-03 14:00:00,Financial Services,2
2023-11-03 14:00:00,IT Services and IT Consulting,1
2023-11-03 14:00:00,Retail,9
2023-11-03 14:00:00,Staffing and Recruiting,3
2023-11-03 16:46:40,Financial Services,7
2023-11-03 16:46:40,Hospitals and Health Care,18
2023-11-03 16:46:40,IT Services and IT Consulting,5
2023-11-03 16:46:40,Retail,5
2023-11-03 16:46:40,Software Development,11
2023-11-03 16:46:40,Staffing and Recruiting,111
2023-11-03 19:33:20,Financial Services,133
2023-11-03 19:33:20,Hospitals and Health Care,412
2023-11-03 19:33:20,IT Services and IT Consulting,1185
2023-11-03 19:33:20,Retail,72
2023-11-03 19:33:20,Software Development,248
2023-11-03 19:33:20,Staffing and Recruiting,1842
2023-11-03 22:20:00,Financial Services,139
2023-11-03 22:20:00,Hospitals and Health Care,639
2023-11-03 22:20:00,IT Services and IT Consulting,734
2023-11-03 22:20:00,Retail,182
2023-11-03 22:20:00,Software Development,338
2023-11-03 22:20:00,Staffing and Recruiting,1629
2023-11-04 01:06:40,Financial Services,29
2023-11-04 01:06:40,Hospitals and Health Care,127
2023-11-04 01:06:40,IT Services and IT Consulting,119
2023-11-04 01:06:40,Retail,56
2023-11-04 01:06:40,Software Development,41
2023-11-04 01:06:40,Staffing and Recruiting,243
2023-11-04 03:53:20,Financial Services,28
2023-11-04 03:53:20,Hospitals and Health Care,202
2023-11-04 03:53:20,IT Services and IT Consulting,27
2023-11-04 03:53:20,Retail,98
2023-11-04 03:53:20,Software Development,29
2023-11-04 03:53:20,Staffing and Recruiting,377
2023-11-04 06:40:00,Financial Services,51
2023-11-04 06:40:00,Hospitals and Health Care,18
2023-11-04 06:40:00,IT Services and IT Consulting,27
2023-11-04 06:40:00,Retail,5
2023-11-04 06:40:00,Software Development,17
2023-11-04 06:40:00,Staffing and Recruiting,48
2023-11-04 09:26:40,Financial Services,1
2023-11-04 09:26:40,IT Services and IT Consulting,1
2023-11-04 09:26:40,Retail,6
2023-11-04 09:26:40,Staffing and Recruiting,2
